"group","overall_cause","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"White: 25-29","Not a DoD",58.0825236368998,55.3555701592018,55.042403519868,56.7599712481414,54.4911879425147,54.6354621735218,56.1289783787699,58.0294866030631,56.7982719227435,54.5423005758515,52.957871633761
"White: 30-34","Not a DoD",69.7269725050862,68.2351709659348,69.1282981797149,68.6338682278372,68.8125808088542,69.9540666398273,72.5673129150864,76.0560676487527,75.4216361965982,75.0903111611644,71.8461691703403
"White: 35-39","Not a DoD",103.841834813708,95.3970648451229,96.1388833271826,95.3728003353279,95.1094992512222,97.6887598663586,98.0539211360656,104.250749000583,103.332893682213,103.407989221684,102.9026397635
"White: 40-44","Not a DoD",163.283315010045,150.183732804845,149.822139834097,147.797937818956,149.010586111916,150.780947100758,150.31263737128,155.224962014565,152.175099688862,148.34300375627,150.105945694693
"White: 45-49","Not a DoD",271.891644060131,258.956103138605,257.310809136144,250.721741600725,250.834422931804,249.422456529441,244.23323351612,246.947421953549,240.950584898538,243.650389004038,239.618755517298
"White: 50-54","Not a DoD",420.590897303707,413.778241038404,416.592037902586,413.481661695406,417.696921549156,418.302776669199,419.259874804215,415.922192371543,409.057967912107,399.688450688421,392.499246621079
"White: 55-59","Not a DoD",615.435371732192,622.022808591814,630.589069383085,634.027909475947,639.710914986177,649.975244767603,652.415376684765,653.934367131813,652.910297416401,648.39689549903,637.616456857186
"White: 60-64","Not a DoD",916.041184142096,935.765859527233,936.043659576099,941.493458220169,942.548889434725,953.402892493917,961.115976204075,966.157060214479,969.165352649839,970.50567859914,970.410317582439
"Hispanic: 25-29","Not a DoD",62.2433546419995,56.6988265367865,53.2117521065481,56.5836430738204,53.6425422387549,56.7991910858295,58.2577091692588,63.0531816273486,60.8264310509912,59.8267386999614,61.4165050782778
"Hispanic: 30-34","Not a DoD",65.6188208212679,61.3829229149294,60.7854264602161,61.1631736773041,61.4081459095629,58.1181480091183,64.8290934248087,70.0423496799454,70.2780023633311,67.5816617457865,71.498862168645
"Hispanic: 35-39","Not a DoD",82.9694756559833,74.9756496794288,73.7148635970417,71.5915012411802,76.6806024508537,77.9251241418253,78.757989463285,81.8261512712725,84.0058094558093,86.1714269774448,88.4592130557976
"Hispanic: 40-44","Not a DoD",120.225623820256,113.033662275674,109.447385331372,110.128882241427,111.45969793618,113.014171032095,111.15119123341,113.275410754652,113.379211163365,113.300937019782,118.309553496445
"Hispanic: 45-49","Not a DoD",195.940406572935,190.077193293438,185.231420070026,179.499645949968,181.499380053449,176.088974137822,176.354051523672,173.614911734564,174.082225348278,175.928725998285,180.679351098279
"Hispanic: 50-54","Not a DoD",307.22501242161,300.552593766366,303.630931631315,298.301787065495,298.526297817377,297.464420694994,293.709587307989,294.886249069688,294.099474014402,287.376489999885,282.25990695031
"Hispanic: 55-59","Not a DoD",461.753878538798,473.491507105971,470.7250035117,479.439497767802,467.801747234097,465.491064004683,462.7715867165,472.773679592738,456.095661684057,462.876025248059,455.565198879919
"Hispanic: 60-64","Not a DoD",697.865079910727,735.64146294403,712.459799297493,734.224192019651,726.375916880141,728.34911553731,728.564454599156,728.076917890422,728.74898685681,720.721421339634,710.015676937988
"Black: 25-29","Not a DoD",140.201265145334,130.269611068706,130.309515399586,126.345848706886,127.811547279163,122.693456804686,131.349254455085,136.038991302912,135.978821762484,131.942611159899,128.690870142119
"Black: 30-34","Not a DoD",158.076067171716,154.799107475341,151.339669933659,150.819212846014,154.075723799617,149.926334970949,159.382879407174,165.973358086842,162.784756596601,162.355465723276,163.953745350606
"Black: 35-39","Not a DoD",210.615556277883,198.716157520667,194.765360222616,196.557992214135,195.969339205956,199.162833256324,204.278923745685,211.783219728675,210.908053504524,212.601335364358,214.627341502076
"Black: 40-44","Not a DoD",308.508333118884,278.783823750442,274.590369293982,267.393120374957,268.214587981985,268.04174534503,273.869718430066,284.056358888594,286.693591655638,292.626515263076,294.271130391481
"Black: 45-49","Not a DoD",466.322977450019,442.122653722253,431.906337852745,422.766801962164,421.054721305376,412.045158469388,407.336581071211,412.681545783522,406.398064927444,414.985582151055,411.431096318911
"Black: 50-54","Not a DoD",725.750169324538,704.559309207392,690.907888997087,683.06435805765,656.606970434512,652.846953554459,654.190664184893,652.493414025565,636.256949808164,634.676664530253,621.390971599861
