"group","overall_cause","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Hispanic: 45-49","Deaths of despair",40.8379622606778,38.3495054618218,40.4634957678892,41.2761845795927,41.0560630014761,40.9739546148464,40.8082071443855,42.7615745950129,47.6755002949585,45.7630891166172,48.4384840765959
"Hispanic: 50-54","Deaths of despair",46.5390709978917,49.3087542132757,53.4564334093048,52.2366447602701,53.0391743853079,53.0600644922262,55.6273389552281,56.7398121222231,57.9633578732253,58.5727393028185,56.3956483340125
"Hispanic: 55-59","Deaths of despair",55.3108063141798,56.6395944538598,58.3361461873424,59.6078664545955,58.8706003432151,63.0028567604364,61.6199749918097,64.7550696024491,62.9914049885562,68.5644104142184,71.2514305780718
"Hispanic: 60-64","Deaths of despair",48.12607701503,51.0831324383805,55.3988473420733,60.0061407841514,57.9802383490589,65.3035923608666,66.5334857679292,66.5075448035924,68.9625974823551,69.6515913663134,72.0191282804713
"Black: 25-29","Deaths of despair",15.2659700471139,17.0206792479316,17.1760615567884,17.2521802570405,18.5051487757584,18.8221110205686,21.5480664322948,28.9739387501324,33.4614823159667,33.2415643469406,35.7030571408779
"Black: 30-34","Deaths of despair",16.5337511953455,17.8743256165898,20.572906461852,19.9101271083847,21.1325805710198,22.812619428736,24.7217341573452,33.4525206610028,39.3204728595355,40.7434441943358,43.8877137220689
"Black: 35-39","Deaths of despair",20.7954348888091,20.3012106592761,22.3921851273905,21.727089038157,24.0215481035375,25.0755491014152,28.6042032348887,36.5279453120379,45.8847106241726,45.6289787191417,53.8880779222292
"Black: 40-44","Deaths of despair",27.3375977002106,25.9949598868306,26.9839413999358,28.6835860396691,27.9892209988111,29.3549967731912,33.6457673472949,40.3194259071484,46.2271061131752,48.1977631135987,53.3591437979659
"Black: 45-49","Deaths of despair",39.9816119810977,34.5215680541636,35.8350236646383,36.1824186699834,35.182866348489,38.1745514490205,40.5527536299614,49.1965561661307,56.4794079585231,55.3438842201452,61.9050545363926
"Black: 50-54","Deaths of despair",46.2446374431461,47.201169323434,45.8740754811965,44.7347845678374,49.0160972174188,49.7024139787321,53.5624245876072,61.2225040805892,71.7232415500362,71.4688677622717,78.4894710884321
"Black: 55-59","Deaths of despair",49.2045782196091,51.4879571906738,54.875431040452,52.9127139733208,56.0628645143413,59.4033360882138,60.0287294046799,73.8722932730043,82.3025116391195,82.8007571640085,88.4145851153073
"Black: 60-64","Deaths of despair",37.4409489853969,43.7878594665917,47.3086341251496,47.0395940340491,58.7758058526175,55.529093543077,59.8977021583186,68.4837188823936,74.1041253655988,81.3933442715467,85.8791871330065
"AAPI & AI: 25-29","Deaths of despair",11.1005039628799,12.3553435412924,13.2418935813573,15.5783112925653,16.2411265928147,14.966940030865,15.7097506578458,18.2481239524875,19.4401168584305,20.2942278680491,20.9495628741575
"AAPI & AI: 30-34","Deaths of despair",11.4677635657634,13.971642073572,13.5155041793537,14.2710609641886,15.1326645360117,15.7961316151237,18.0757720982724,19.722137912966,20.4655568340313,21.2650294192888,23.7033340610673
"AAPI & AI: 35-39","Deaths of despair",16.8604180168503,15.7465165262476,16.9052124237761,16.4201901864808,16.6511256160916,16.7799794708937,16.9646243427951,19.6757419713292,22.3858636096705,22.6504762073167,23.0525610698029
"AAPI & AI: 40-44","Deaths of despair",18.0205033282312,18.687929377425,19.2930284105921,20.7001597310833,19.1330523479311,19.4492521860763,19.274830509829,19.8777446854574,20.5018648174269,22.4040376012869,23.5523486669417
"AAPI & AI: 45-49","Deaths of despair",24.1411960406089,25.1397369960599,25.1130521327288,24.58875451367,26.0671487480102,22.3200958424915,27.8662699863531,23.0748275508232,27.7805914959297,25.584568249404,25.844046340252
"AAPI & AI: 50-54","Deaths of despair",22.0443161866048,25.6644971439358,24.1780415280016,27.8973575622917,26.9438609286892,27.1844842212817,26.2398623967745,30.2057467288031,28.8258388036486,31.1088799567845,30.718939416163
"AAPI & AI: 55-59","Deaths of despair",23.4233451639324,23.0355414360527,25.5204318796797,26.7706519999377,24.8267075352468,27.3843029735781,28.7561891452751,28.2074362323892,27.7112645983372,33.0162732477107,30.9234839601233
"AAPI & AI: 60-64","Deaths of despair",18.87232533179,23.3242584869815,21.8078330101534,20.9055332310508,22.0791508173903,24.1533447551817,27.5673759796264,27.6190195616309,25.3472001581552,27.278542562028,27.271695762005
