"group","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","overall_cause"
"Hispanic: 50-54",353.764083419501,349.861347979642,357.08736504062,350.538431825765,351.565472202685,350.52448518722,349.336926263217,351.626061191911,352.062831887628,345.949229302704,338.655555284322,"Total"
"Hispanic: 55-59",517.064684852978,530.131101559831,529.061149699042,539.047364222397,526.672347577312,528.49392076512,524.39156170831,537.528749195187,519.087066672613,531.440435662277,526.816629457991,"Total"
"Hispanic: 60-64",745.991156925757,786.72459538241,767.858646639566,794.230332803802,784.3561552292,793.652707898177,795.097940367085,794.584462694014,797.711584339165,790.373012705947,782.034805218459,"Total"
"Black: 25-29",155.467235192448,147.290290316637,147.485576956374,143.598028963927,146.316696054921,141.515567825254,152.89732088738,165.012930053045,169.440304078451,165.18417550684,164.393927282997,"Total"
"Black: 30-34",174.609818367061,172.673433091931,171.912576395511,170.729339954399,175.208304370637,172.738954399685,184.104613564519,199.425878747844,202.105229456137,203.098909917612,207.841459072675,"Total"
"Black: 35-39",231.410991166692,219.017368179943,217.157545350006,218.285081252292,219.990887309494,224.238382357739,232.883126980574,248.311165040713,256.792764128696,258.2303140835,268.515419424305,"Total"
"Black: 40-44",335.845930819095,304.778783637273,301.574310693918,296.076706414626,296.203808980796,297.396742118221,307.515485777361,324.375784795742,332.920697768813,340.824278376675,347.630274189447,"Total"
"Black: 45-49",506.304589431116,476.644221776416,467.741361517384,458.949220632148,456.237587653865,450.219709918409,447.889334701172,461.878101949652,462.877472885967,470.3294663712,473.336150855304,"Total"
"Black: 50-54",771.994806767684,751.760478530826,736.781964478283,727.799142625487,705.623067651931,702.549367533191,707.7530887725,713.715918106155,707.9801913582,706.145532292525,699.880442688293,"Total"
"Black: 55-59",1121.18384692944,1126.46695905857,1098.41744103921,1096.1618954473,1092.1384317783,1088.45914499243,1085.61861235825,1084.96146303471,1096.71392626298,1078.17156136964,1067.74449680918,"Total"
"Black: 60-64",1482.6149969925,1542.76507522253,1540.06208373574,1535.67644361663,1575.07905831849,1575.59483998983,1581.73772907178,1601.83740850607,1594.49957152331,1588.88556301637,1574.25664748392,"Total"
"AAPI & AI: 25-29",42.3749673017764,43.0506501516908,41.7520203312547,46.7349338776959,44.3924126870267,44.9878371857976,45.0819706378075,46.963853073325,48.6002921460761,49.9284128799162,48.2184637268085,"Total"
"AAPI & AI: 30-34",43.1668654746202,48.3248552007059,49.1517076450595,48.4934407105486,48.8413544006604,49.5823020141384,54.8255687992517,56.7167166086559,60.5015566843031,59.0784088002047,63.8586532763622,"Total"
"AAPI & AI: 35-39",68.5555735580039,62.8341704471808,64.0592174040416,64.8870355405343,62.5396688580854,64.2433499742787,66.6500583768991,73.7502639566071,71.765166639934,74.3929209262613,74.7362389131333,"Total"
"AAPI & AI: 40-44",96.665539458228,90.9924180400812,93.1424538266918,96.6007454117221,96.3163865577786,93.6118047137915,94.4369836536846,98.1912689281633,96.3540298001471,95.6155579636511,97.8044694153625,"Total"
"AAPI & AI: 45-49",146.726782748032,149.25250398829,154.034434970793,147.589843526108,153.847289669629,146.977831122807,151.212317755404,144.230694104356,150.586852458984,144.750932026743,146.016455486638,"Total"
"AAPI & AI: 50-54",217.275503528384,219.538116626715,220.956918780768,228.324373115378,221.879982278534,224.623518328435,224.252568501068,227.625947990264,230.889316691969,224.669004886453,225.88106622948,"Total"
"AAPI & AI: 55-59",311.173711250651,331.882430319426,328.06700111994,329.888087343147,324.111302767837,334.697036343733,331.240557370519,334.978976057528,331.552070449285,341.48773364556,328.993133700518,"Total"
"AAPI & AI: 60-64",453.322932585151,478.679595338632,473.866038116458,477.765784552298,486.58082942051,487.978075203854,493.355644632585,500.677586613245,485.197658737724,490.536391621668,486.179354861827,"Total"
