"group","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","change"
"Black: 30-39",37.2850676690117,38.1504123273238,42.9023616567743,41.5530576186899,45.0045500518563,47.7846562744693,53.1961170037029,69.8958673589088,85.0342754857305,86.2268738636225,97.3180174322492,"+99"
"Black: 40-49",67.6800068984332,60.7598348868697,63.0053440086333,64.9498155765155,63.2021059000753,67.5116096391909,74.220776372763,89.6630740493581,102.918361903681,103.65730423704,115.286367557131,"+99"
"Black: 50-59",95.1595265046141,98.2695789413099,99.9629335388675,97.0792114151229,104.682866790102,108.673470918874,113.394539359323,134.855983129635,153.932512745728,154.292499592954,167.032504093414,"+99"
"Black: 60-69",67.6461525213236,76.7763080763489,83.6559555330869,84.2727406484493,100.887667606606,100.154860096001,108.287209240001,120.378198113159,134.020507590782,147.90949802759,158.476290288226,"+99"
"AIAN: 30-39",117.003539357066,123.243728122776,123.110247954169,123.264063309041,124.958331349112,148.369903071257,150.577336446005,169.600710430444,185.970032975574,189.568440561292,206.075421529695,"+54"
"AIAN: 40-49",154.347266857729,161.955934942265,172.153366993171,179.147927669024,185.851307528692,177.070361145704,208.228180081747,185.532837112965,209.923281854055,205.83438156398,208.947787162569,"+54"
"AIAN: 50-59",130.245572809981,142.61310494624,146.004402768425,170.017740981668,173.737896168843,166.623988805176,186.689304393494,200.788320270033,194.190053438904,223.776015820444,216.99369550435,"+54"
"AIAN: 60-69",83.2359070807706,102.932953794541,107.358262967431,115.583336448141,109.983777392835,125.300143649537,122.477035555833,136.418815302757,133.585351995083,141.707098176027,135.197808832924,"+54"
"Hispanic: 30-39",34.4635907486297,35.2905223544543,39.2939391252647,38.9692503922501,39.4417865255522,42.5404664761736,47.8966313414033,59.5454205746343,62.9672807031812,66.1100090381242,73.7976842883877,"+52"
"Hispanic: 40-49",64.7018286463361,61.8442397474974,63.2249578475934,64.1321189998237,63.0880150164503,65.9116538509661,67.5462781934102,71.8728446769516,78.3550722896727,78.714834035836,86.2519993056751,"+52"
"Hispanic: 50-59",95.2371271187494,99.3032283714474,105.112149409966,104.844652163293,105.052429052807,108.49099958893,110.058927384037,113.896883078874,113.706300574455,119.165326451566,119.368622528954,"+52"
"Hispanic: 60-69",97.0521757670815,99.8894706734278,106.11004577812,111.950430219049,109.750739590248,121.27163291857,124.525952340522,121.038583836829,126.262062685794,130.887200528438,132.044236084365,"+52"
"White: 30-39",89.1322372187376,93.9900566352585,99.5298442584142,102.30573212209,105.044560513381,114.379313954936,130.842984828773,153.007366802097,167.016724956907,160.606649245228,162.458787103787,"+47"
"White: 40-49",127.372532057806,127.261911609837,132.86691004546,131.297119424722,133.055611412873,137.432201421964,146.756485326086,155.533525080786,168.666221618323,163.22175017537,166.222045038983,"+47"
"White: 50-59",134.578860009413,140.000067113501,148.720527035025,153.100257715338,159.215270084268,165.297968604676,172.329443171518,179.504916741413,185.323105379172,184.928791850747,187.713934774006,"+47"
"White: 60-69",90.6509292528617,99.7920525535938,101.985395664311,108.48590076741,115.29820531057,121.901921333059,126.825307862426,131.02252506392,137.803466984393,142.292046186684,145.942017132925,"+47"
"AAPI: 30-39",17.7413500761117,18.5539309956283,19.8123918891116,20.4200521034431,21.7849697560398,19.2523429031739,22.5485948851975,25.5038584593039,27.6965039257025,28.7271217175693,30.0790176842615,"+41"
"AAPI: 40-49",24.0459815196126,24.6685312029683,24.4506503120655,25.5392157932764,25.04052237509,23.5887722977885,26.0726492869164,25.761745050917,29.458623041606,30.4847385777495,32.4002411608859,"+41"
"AAPI: 50-59",29.4093902453089,31.2354634958346,31.6382961102576,33.2061483710264,29.1206352832243,35.1471872956436,31.6722711740268,34.34820839745,34.238944137693,39.1951207918817,38.6316193720841,"+41"
"AAPI: 60-69",31.8686219870619,34.613287995517,33.9875092318393,31.5249341257412,33.2875257866729,32.620929154805,36.2105798460313,37.0118125782063,36.6788016673873,35.5140559845175,39.4959427115223,"+41"
