"group","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","change"
"Black: 30-39",18.7365930364963,17.9464957397766,21.5450180148631,20.9067308699227,24.4677798649276,26.8607689058002,32.8072373761967,46.5042828213388,58.3092174759295,58.9144361648847,69.4007897241065,"+192"
"Black: 40-49",36.7022735482403,32.3545214990904,34.1914813795409,34.211045233325,34.0375827335686,40.4171498948593,44.7290771517976,61.4005417874109,71.0110044211489,71.411745178709,80.7004572899917,"+192"
"Black: 50-59",41.4808292530724,42.2078544980143,44.3138725525916,45.4067705981491,50.0607609159637,52.7424577535164,58.9101181847055,81.2032034979385,100.356680635585,100.169935836029,114.259476603705,"+192"
"Black: 60-69",18.1219754198229,21.5111998304004,22.505092351254,23.1030024511722,32.8499357388118,32.5089078121077,40.2676054460304,55.2360107671322,66.3343939326809,79.6585120654006,89.7231212336552,"+192"
"AAPI: 30-39",3.45346890794542,3.8597593677037,4.3733038952554,5.0403926078119,6.23327169320214,5.19507665641199,7.5753809588065,9.09218272428099,10.801636531024,11.3722752015143,10.9521161951405,"+177"
"AAPI: 40-49",4.20221036265075,4.90257875642588,6.01862161527767,6.40299427295819,5.74584224470904,5.1189711144761,6.71975497085474,6.86543967092967,9.35295375187059,9.4327777156561,11.0455367593929,"+177"
"AAPI: 50-59",3.84436473794888,4.99767415933354,4.37352916818267,5.8652164242302,6.27750221674297,6.84356291093061,5.93855084513002,8.72848589864611,8.18239268255772,9.74033816895668,10.7225557705981,"+177"
"AAPI: 60-69",2.43970311862675,2.13474022879841,3.8719947226146,2.57070278278576,2.55076825951516,3.73154540147215,4.08646042149569,3.87332922330066,4.54610499539449,4.98792921130863,5.71142308818582,"+177"
"Hispanic: 30-39",15.1279840830259,16.1738093492158,18.8572618944632,19.0495430402671,19.4548636175891,20.8482500585644,24.6672144525614,33.6974455832687,36.4616361908158,37.6139438446451,43.4467869640017,"+123"
"Hispanic: 40-49",23.7931875682249,22.1387939952131,23.227283497614,23.807482896915,24.1276175647386,25.6232235814343,27.4181933968517,31.6542481445756,37.2199305100847,37.2532083889942,42.5016948040454,"+123"
"Hispanic: 50-59",21.1889054168375,21.6858733477228,24.2864613958299,24.3022842915699,27.0089952123808,24.4349098173265,29.2479433008759,33.5175287616632,36.2820638520448,39.3078935347501,43.5885954075145,"+123"
"Hispanic: 60-69",8.92913396997224,8.76223426959893,12.3310711970132,11.499215827669,12.4127034552548,13.819940719728,15.2391899717422,16.8467864021193,21.0343780965729,22.2130937153419,26.621413637553,"+123"
"White: 30-39",46.286769912133,50.2280196274236,54.944914023697,55.9168361093987,58.6595188987422,65.8495106214074,78.5025277764997,100.039560732894,111.733222473443,104.347968025577,105.01592487448,"+86"
"White: 40-49",56.2159289020257,54.7502079664422,59.168012631919,57.5533153445447,60.4079486985179,62.5685064362004,69.4315648431675,81.0248093831427,88.6505612706004,85.3713073978807,87.7925689867216,"+86"
"White: 50-59",40.3202278366539,42.5095614748433,46.8556489655863,48.0222503307517,52.6559950730962,56.5036340907754,59.6597641426776,68.5596645163853,74.8083340813039,69.8912373471506,73.431438603174,"+86"
"White: 60-69",12.0599905879639,14.5943364361592,15.550365530727,16.8282247280311,19.6202750545897,21.053373580639,22.9281838330828,26.3991805340407,29.9834822547255,31.8758625014085,34.5345232925533,"+86"
"AIAN: 30-39",53.0416045085364,49.5314983278244,50.2570316015436,52.1650424662086,41.9067574646412,65.3578813529082,65.4844927541594,65.5110040289267,78.624396180793,77.3100344188509,85.7495042606785,"+58"
"AIAN: 40-49",57.608486925772,53.6229941195865,56.1609065031026,64.9411237800213,57.8881121810679,63.8231631382316,66.9022099502192,67.1756824029701,79.7227730705286,79.8460856359299,72.3280801716587,"+58"
"AIAN: 50-59",35.5566548917454,39.4215086843265,45.6499553875436,46.2004730928445,49.1711026892951,42.1969841779342,47.4816727937209,65.8440978182811,54.9594490864824,69.5118188678123,69.6941556741403,"+58"
"AIAN: 60-69",7.62466324404005,14.6139378844101,18.6972255729795,23.001658994655,17.5974043828535,25.1648824066016,27.4948447166156,31.4812650698669,26.4387675823602,28.3414196352054,32.8150021439135,"+58"
