"group","overall_cause","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"White: 25-29","Deaths of despair",38.7084704406963,42.1330166685031,44.7738293173248,44.6879172714537,45.5063573577108,48.526811296693,54.9524153301397,65.2660870653398,70.0301154348438,64.9338220588716,61.9940929970574
"White: 30-34","Deaths of despair",41.2900324310912,44.3747745967943,48.7683115155474,49.5256674939591,51.2559873535017,55.9664233160145,63.9909605562025,75.1119559162762,83.1745274903686,77.4672819386228,77.7200421986497
"White: 35-39","Deaths of despair",47.768562222301,49.5563818156503,50.8016835070559,52.8997883225153,53.8991464115684,58.5153438517233,66.9496617169248,77.9632233721021,83.8529671377698,83.1970462086992,84.8195634880513
"White: 40-44","Deaths of despair",57.3999874809675,55.6434525943611,59.3140785658617,58.0010640967361,60.1907440733512,62.6198023887343,68.910194056206,74.9884871731943,81.6073525521608,80.146452683063,81.775360542619
"White: 45-49","Deaths of despair",69.1380133784735,70.558082741116,72.8220454030088,72.6615069180706,72.4239221254218,74.384985621922,77.4412746410728,80.1986984608141,86.7165099836427,82.9228342611545,84.3589206711102
"White: 50-54","Deaths of despair",71.4703893520558,72.4454117166313,77.2878842862194,79.3018970772556,81.1026812313803,83.6785728672163,87.352941776933,91.1227659197987,92.9217226304625,91.1500578757337,91.8368714814705
"White: 55-59","Deaths of despair",62.7371698438573,67.3374873202048,71.2123945336801,73.665370756685,78.0774639284458,81.6139971659884,85.0024279965981,88.4637638640489,92.4233994437884,93.6377345319418,95.6275329497124
"White: 60-64","Deaths of despair",47.0069030238172,53.1096073258179,54.5752041542044,58.5666977844024,63.3639510260162,67.6911202558202,70.2135265045413,73.0849205805402,76.9360061884416,78.0257228628827,80.7835811309458
"Hispanic: 25-29","Deaths of despair",14.6515496883339,14.8541056748085,15.7008974561415,14.900928898924,17.636852335897,19.1527697944204,19.7153539580339,25.7912890494607,29.0844188440262,30.1457887704254,31.9866653754618
"Hispanic: 30-34","Deaths of despair",16.1668247370721,16.2372172976108,18.4432429345801,18.3360954290895,18.7360467074958,20.0938342487313,23.4532453428243,27.6721966310941,28.9862313247698,31.568387101046,35.866209106551
"Hispanic: 35-39","Deaths of despair",18.3775408275498,19.1601009452064,20.9492214287867,20.7293445925201,20.7869561007428,22.5384130634633,24.4707112135187,31.9640953980287,34.0511905850451,34.5692172976618,37.9505824434966
"Hispanic: 40-44","Deaths of despair",26.9203640265972,26.2989075642833,25.8437844738115,26.0474143004041,25.2411218856449,27.9693033061302,29.6120371047113,32.0176452800655,33.9683054616235,35.9412904970276,40.8430320872338
"Hispanic: 45-49","Deaths of despair",38.5346414525308,36.1865372571763,38.18247661792,38.9500697346664,38.7396501809589,38.6494526752923,38.4738043328994,40.2998972558933,44.9186600825157,43.1044948510885,45.6171563513955
"Hispanic: 50-54","Deaths of despair",43.9524726733725,46.5682194690827,50.4709993181854,49.3070912064398,50.0500851096619,50.0648353075522,52.4888204677076,53.5428182929323,54.7014052985392,55.2750823481313,53.2010687451102
"Hispanic: 55-59","Deaths of despair",52.4777206073548,53.7384466279519,55.2810267867121,56.425917648179,55.6830913180371,59.5372194926049,58.1869481451847,61.1304593866694,59.4510832315165,64.6938437966963,67.2237055917557
"Hispanic: 60-64","Deaths of despair",45.854661150959,48.6721518514788,52.7323785416317,57.0757412227795,55.1024839667498,62.0170486756526,63.1269798117973,63.0239537026956,65.2776496956043,65.8748203727421,68.049729864524
"Black: 25-29","Deaths of despair",15.2659700471139,17.0206792479316,17.1760615567884,17.2521802570405,18.5051487757584,18.8221110205686,21.5480664322948,28.9739387501324,33.4614823159667,33.2415643469406,35.7030571408779
"Black: 30-34","Deaths of despair",16.5337511953455,17.8743256165898,20.572906461852,19.9101271083847,21.1325805710198,22.812619428736,24.7217341573452,33.4525206610028,39.3204728595355,40.7434441943358,43.8877137220689
"Black: 35-39","Deaths of despair",20.7954348888091,20.3012106592761,22.3921851273905,21.727089038157,24.0215481035375,25.0755491014152,28.6042032348887,36.5279453120379,45.8847106241726,45.6289787191417,53.8880779222292
"Black: 40-44","Deaths of despair",27.3375977002106,25.9949598868306,26.9839413999358,28.6835860396691,27.9892209988111,29.3549967731912,33.6457673472949,40.3194259071484,46.2271061131752,48.1977631135987,53.3591437979659
"Black: 45-49","Deaths of despair",39.9816119810977,34.5215680541636,35.8350236646383,36.1824186699834,35.182866348489,38.1745514490205,40.5527536299614,49.1965561661307,56.4794079585231,55.3438842201452,61.9050545363926
"Black: 50-54","Deaths of despair",46.2446374431461,47.201169323434,45.8740754811965,44.7347845678374,49.0160972174188,49.7024139787321,53.5624245876072,61.2225040805892,71.7232415500362,71.4688677622717,78.4894710884321
"Black: 55-59","Deaths of despair",49.2045782196091,51.4879571906738,54.875431040452,52.9127139733208,56.0628645143413,59.4033360882138,60.0287294046799,73.8722932730043,82.3025116391195,82.8007571640085,88.4145851153073
"Black: 60-64","Deaths of despair",37.4409489853969,43.7878594665917,47.3086341251496,47.0395940340491,58.7758058526175,55.529093543077,59.8977021583186,68.4837188823936,74.1041253655988,81.3933442715467,85.8791871330065
"AAPI: 25-29","Deaths of despair",7.97063590938927,9.24325844954386,10.4009568880337,11.172560192168,12.3908098411387,10.7007324385314,11.8785536673055,12.6262147312703,14.4613387939349,14.7148604436374,15.8141302123999
"AAPI: 30-34","Deaths of despair",7.71920668414987,9.35868420998701,9.86419845443237,9.53884759274463,10.563962963845,10.1689515458276,12.2161659080333,12.6755648034135,13.8710294178291,14.1244198617697,15.2898083455763
