"group","overall_cause","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"White: 25-34","Deaths of despair",79.9194139101366,86.4391125709717,93.4577402389816,94.1496123658304,96.7188634879552,104.425364448291,118.823203789626,140.203489808759,152.92112075941,142.149104278844,139.527160005039
"White: 35-44","Deaths of despair",105.657348838139,105.508755971527,110.70888161045,111.257836007973,114.452849702048,121.284884920869,135.878353274693,153.016331591305,165.54435146632,163.476709957072,166.722885633642
"White: 45-54","Deaths of despair",140.645984606676,143.033905233973,150.270655631974,152.292937003805,154.066795290826,158.727127433347,165.456002848954,171.864070323265,179.879465760633,174.334390682627,176.436822831639
"White: 55-64","Deaths of despair",110.670652770214,121.285177547563,126.548123590991,133.13913573693,142.347427436579,150.08905003491,155.93394520548,162.201299331026,169.822810195573,171.945659378265,176.547007809567
"Hispanic: 25-34","Deaths of despair",30.7867979777209,31.0625006461781,34.104306990498,33.2138920752866,36.3705479385138,39.2440155616772,43.1278768598491,53.4279556945225,58.0735924021358,61.6628737308025,67.7030874192749
"Hispanic: 35-44","Deaths of despair",44.8181332940875,45.0580876067863,46.5568919736493,46.5497489583791,45.8491947328044,50.3019717143035,53.8661535548654,63.9793453622054,68.0232589089292,70.4488620030914,78.6693033456007
"Hispanic: 45-54","Deaths of despair",81.9236831353866,81.6751067236191,87.454033045621,87.3343572763117,87.8781170124983,87.9050937594417,89.9949815740811,92.924500828643,98.9181294965471,97.5139671209861,98.2782791703657
"Hispanic: 55-64","Deaths of despair",99.296857886337,103.148372374049,108.377913614457,113.404039115222,110.873004170325,121.189769942153,120.605620777501,123.895398397831,123.977203838836,130.420527805122,135.172392002249
"Black: 25-34","Deaths of despair",31.7621431027278,34.8697020411061,37.6697085930878,37.104022361172,39.5695661382502,41.4651070792472,46.0675955729331,62.0648830653939,72.2396516396388,73.2781369549515,78.9384390930537
"Black: 35-44","Deaths of despair",48.1957288794455,46.3507361332793,49.482381253203,50.5978364015942,52.0983017279775,54.4639963625428,62.1745318321273,76.7007221596391,92.0944907931347,93.6825049563627,107.27389714085
"Black: 45-54","Deaths of despair",86.0902673729044,81.4474394083958,81.6064022559317,80.9151145131454,84.3463963556828,88.1262369821643,94.3964462687869,110.586137937086,128.263339647417,126.76651750273,140.246265900378
"Black: 55-64","Deaths of despair",88.1823724854799,96.281786720656,103.048489691052,100.651209605214,114.515866261152,115.37384976033,119.940590730785,142.883347733155,157.064664865306,164.288674442011,174.434937209542
"AAPI: 25-34","Deaths of despair",15.6923169536884,18.6008067338979,20.2700508686438,20.7128459355011,22.9461015095038,20.8681504275318,24.0939607778664,25.3014705661831,28.3377595604782,28.8411233591377,31.0985832838916
"AAPI: 35-44","Deaths of despair",20.116227881446,19.9037325165012,20.5363997348186,23.7729794306807,22.5289536348895,20.0991129506138,21.2989618473758,25.3049397681458,26.6285149788369,28.6647488999975,30.1183594700078
"AAPI: 45-54","Deaths of despair",27.620623116174,30.1623982495642,28.2896461554288,28.1706195093753,28.474608086391,29.6635160768146,29.9199584869949,31.2288138824424,33.2337143358063,35.7010307466512,35.4435045727184
"AAPI: 55-64","Deaths of despair",31.3508529276164,32.5034578146611,33.6403194519686,32.0631203388632,30.0380061416635,34.0836441842834,36.7587091582303,35.1326210937713,34.5569681784235,38.0738083069504,39.1567522437904
"AIAN: 25-34","Deaths of despair",83.313147328474,95.4247502440672,90.3595406120955,112.266845818416,112.062278611338,119.984436304548,125.473671497179,152.157054814089,148.923164855403,158.090244993291,168.099157224388
"AIAN: 35-44","Deaths of despair",145.444903481904,142.715374462137,157.178817495302,149.167738727576,149.355755135586,170.898582372523,166.396567972209,172.060792188361,195.267115650855,201.482417480815,206.373246730048
"AIAN: 45-54","Deaths of despair",148.631180100169,163.633857903707,166.669005880784,189.338098164522,197.447949225611,175.244840773633,211.483439661478,203.72558950982,225.889104475619,217.660057043289,225.586345461418
"AIAN: 55-64","Deaths of despair",106.418954871269,121.081121986866,125.014949892474,136.47294237419,140.039628235224,150.706540415437,167.101869728993,172.49271621019,161.356783339046,192.433967062289,177.053358469146
