"group","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","change"
"AIAN: 30-39",32.7609910199783,41.7312623706867,38.9589392260028,36.3223258653601,44.1925805990761,45.4500209408154,46.24611070209,50.9530031336097,56.7244502126269,66.7196187450357,68.4612977565094,54.3
"AIAN: 40-49",71.3765529835037,80.4344911793798,85.8931511223922,86.5881650400284,91.4022823911599,81.3356164383562,107.281058559227,93.5661290612798,96.1480680247581,91.0807107505331,100.455666905081,54.3
"AIAN: 50-59",80.3889588856854,83.8673272990083,82.9999188864429,106.815493790656,107.812195526158,106.754763390329,113.308537348652,108.896007930234,117.979617372315,133.819544344452,125.449480213452,54.3
"AIAN: 60-69",65.4450261780105,79.4235754587506,81.4234016887817,79.3557235315597,82.4878330446259,91.2226987239308,84.4841592201462,92.0588508861261,94.622957663184,97.1705816064187,93.1946060887143,54.3
"White: 30-39",5.36609897811227,5.64106988848138,5.49112777126938,6.22044371071377,6.89867231764184,6.83390639773995,8.46779838220999,8.99711669393255,9.40961796351984,9.63528962860515,10.977794601141,38
"White: 40-49",24.9034283489234,25.8437021566563,25.716631444503,25.9684727686402,25.0089951828782,25.4982821359528,26.8184840467476,25.5977902558737,26.8351174238385,27.2765496221447,27.8220005037361,38
"White: 50-59",47.9633479485471,49.5597370597269,52.943397239842,54.5032288196254,55.9413691246654,57.3165431905056,59.099639719504,58.6235771900268,58.2774508539344,59.8464069225923,61.7506114393008,38
"White: 60-69",46.8154852026974,50.9403515487256,51.5586263984559,55.5995364492134,58.1225571453551,61.5598457756468,64.5613377442792,65.1720551843161,67.0015790026534,67.2724729377055,69.9689455660465,38
"Hispanic: 30-39",5.81284275859033,6.05605793677403,6.07835599136251,5.99707836452853,6.1765143708636,6.93421008512427,7.77309307885814,8.64547324347643,8.29665973204191,9.07476811380837,10.6857340544746,22.4
"Hispanic: 40-49",26.5304569344809,25.3874213749454,26.5287715922434,25.2028975643179,25.8808354500656,24.6964261327441,26.0059832413287,25.0162273576786,25.3217560027625,24.4038397200631,26.416663993989,22.4
"Hispanic: 50-59",59.7265095118533,61.80473904101,66.0557301085161,65.6407982807776,62.6938449915293,68.2297866437655,65.1398638454076,63.3766993944546,61.0888702997219,62.8011399615874,59.2081066533245,22.4
"Hispanic: 60-69",75.6055642691107,77.7752603739638,82.6260312054643,87.9133597147601,84.6448196073027,92.9705102963518,94.4829778248016,91.101785700659,92.9529811906909,93.3162501534457,91.5047829975206,22.4
"AAPI: 30-39",1.48973168578038,1.55744676240676,1.19271924416056,1.22778794292854,2.20368191173813,1.65020082027204,1.9530279034423,2.51607572244254,2.65886437686744,2.91044009896574,2.93453831065966,18.3
"AAPI: 40-49",7.00368393775126,5.21385359810371,5.34152668355893,4.87500700327499,5.46209694867402,4.49639354649928,5.1070137778496,4.90388547923548,6.17167696552005,5.62218539343741,6.25913749698932,18.3
"AAPI: 50-59",8.93814801573114,10.5720030293594,12.1900493836581,10.1062190694428,8.89312814038587,11.2369613228861,11.6296620717129,10.0215949206678,11.3600209087937,13.0130917937261,11.1788347395598,18.3
"AAPI: 60-69",17.0779218303873,14.7907001566747,13.7670923470741,14.8830161108649,18.3655314685092,14.4446918766664,17.3674567913567,17.645166461703,18.3910611177322,15.9613734761876,18.3927184195815,18.3
"Black: 30-39",3.16038918687889,3.42375495245213,3.4907433369029,2.97604709892139,3.37993355491492,3.29424524316417,3.30918988718687,3.76496442631529,4.31159706688211,3.9209266389599,4.74004451719051,14.9
"Black: 40-49",15.7606011781683,14.3475817621946,14.5704399927693,14.510454014562,13.9546705784045,13.0607271419499,14.3299410317255,13.5980108052765,15.0398642071602,14.525711745616,15.11952361405,14.9
"Black: 50-59",42.9752700343418,44.6716622725395,44.7878177135819,39.4505161925997,42.3824969030368,43.5144032674815,42.2858613484913,41.9197150201978,40.88190673213,40.6764306375777,38.566361797935,14.9
"Black: 60-69",41.8465462938658,47.0341346774029,52.2931737724473,53.0930788037779,58.7462354453204,58.5046073806647,59.1498474592365,55.2878755659746,57.5732475642136,57.6201424872824,59.1399774938221,14.9
