"group","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","change"
"AIAN: 30-39",31.2009438285508,31.9809674242646,33.8942771266224,34.7766949774724,38.8589932853945,37.5620007775334,38.8467329897556,53.1367032679073,50.6211865821544,45.5387873974054,51.8646195125071,44
"AIAN: 40-49",25.3622269484531,27.8984496432984,30.0993093676759,27.6186388489746,36.560912956464,31.9115815691158,34.0449115723009,24.7910256487152,34.0524407587685,34.9075851775171,36.1640400858293,44
"AIAN: 50-59",14.2999590325498,19.3242689629051,17.3545284944381,17.0017740981668,16.7545979533894,17.6722412369126,25.8990942511205,26.0482145215178,21.2509869801065,20.4446526081801,21.8500596167575,44
"AIAN: 60-69",10.1662176587201,8.89544045138006,7.23763570566948,13.2259539219266,9.89853996535511,8.91256251900473,10.4980316190714,12.8786993467637,12.5236267495391,16.1950969344031,9.18820060029577,44
"Black: 30-39",15.3880854456365,16.7801616350951,17.8666003050084,17.6702796498457,17.1568366320138,17.629642125505,17.0796897403193,19.6266201112547,22.4134609429189,23.3915110597779,23.1771831909522,34
"Black: 40-49",15.2171321720246,14.0577316255846,14.2434226363231,16.2283163286285,15.2098525881022,14.0337326023817,15.1617581892399,14.6645214566707,16.8674932753721,17.7198473127148,19.4663866530893,34
"Black: 50-59",10.7034272171998,11.390062170756,10.861243272694,12.221924624374,12.2396089711012,12.4166098978762,12.1985598261259,11.7330646114991,12.693925378013,13.446133119347,14.2066656917737,34
"Black: 60-69",7.67763080763489,8.23097356854551,8.85768940938567,8.07665939349923,9.29149642247415,9.14134490322887,8.86975633473372,9.85431178005176,10.1128660938879,10.6308434749072,9.61319156074877,34
"Hispanic: 30-39",13.5227639070135,13.0606550684645,14.358321239439,13.9226289874545,13.8104085370995,14.7580063324849,15.4563238099838,17.2025017478892,18.2089847803236,19.4212970796706,19.6651632699114,26
"Hispanic: 40-49",14.3781841436302,14.3180243773389,13.4689027577359,15.1217385385908,13.0795620016461,15.5920041367877,14.1221015552297,15.2023691746975,15.8133857768256,17.0577859267788,17.3336405076406,26
"Hispanic: 50-59",14.3217121900586,15.8126159827146,14.76995790562,14.9015695909458,15.3495888488966,15.8263031278376,15.6711202377533,17.0026549227564,16.3353664226881,17.0562929552282,16.5719204681155,26
"Hispanic: 60-69",12.5174775279985,13.351976029865,11.1529433756425,12.5378546766198,12.69321652769,14.4811819024901,14.8037845439781,13.0900117340509,12.2747033985306,15.3578566596502,13.918039449291,26
"White: 30-39",37.4793683284922,38.1209671193535,39.0938024634477,40.1684523019776,39.486369296997,41.6958969357885,43.8726586700629,43.9706893752711,45.8738845199443,46.6233915910466,46.4650676281654,16
"White: 40-49",46.2531748068567,46.6680014867388,47.9822659690384,47.7753313115367,47.6386675314772,49.3654128498108,50.5064364361712,48.91092544177,53.1805429238844,50.5738931553445,50.607475548525,16
"White: 50-59",46.2952842242124,47.9307685789312,48.9214808295968,50.5747785649609,50.6179058865063,51.4777913233954,53.5700393093366,52.3216750350014,52.237320443934,55.1911475810039,52.5318847315316,16
"White: 60-69",31.7754534622005,34.257364568709,34.8764037351285,36.0581395901651,37.5553731106257,39.2887019767728,39.335786285064,39.4512893455636,40.8184057270142,43.1437107475704,41.4385482743249,16
"AAPI: 30-39",12.798149482386,13.1367248655179,14.2463687496956,14.1518715527026,13.3480161510995,12.4070654264898,13.0201860229487,13.8956000125804,14.2360030178111,14.4444064170892,16.1923631784613,16
"AAPI: 40-49",12.8400872192106,14.5520988484387,13.0905020132289,14.2612145170432,13.8325831817069,13.9734076368131,14.2458805382121,13.9924199007519,13.9339923242154,15.429775468656,15.0955669045037,16
"AAPI: 50-59",16.6268774916289,15.6657863071417,15.0747175584169,17.2347128773534,13.9500049260955,17.0666630618269,14.1040582571838,15.5981275781361,14.6965305463415,16.4416908291989,16.7302288619262,16
"AAPI: 60-69",12.3509970380479,17.687847610044,16.3484221621505,14.0712152320905,12.3712260586485,14.4446918766664,14.7566626331789,15.4933168932026,13.7416355542606,14.5647532970212,15.391801203755,16
