"group","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","overall_cause"
NA,0,35.9841061179406,33.324226023531,36.0886395440632,34.6032119020324,35.3107969098632,35.3189119167313,34.7349929971091,37.2530097592803,38.3675924178728,38.1241768496877,"Total"
NA,0,38.4867601148651,39.6217175555368,37.8041206491508,39.2660560590439,39.3193681784286,41.8384542448598,43.1869928629677,44.4170500976034,43.3925431301727,48.8175435270391,"Total"
NA,0,52.8405140829532,53.4773362222121,55.1131325956343,51.6070216985259,50.7598616873781,52.6540317810492,61.7074675791892,57.4771740726233,63.3764225172359,62.4529755802615,"Total"
NA,0,71.894265139675,76.0122446560567,81.7656560136932,81.2745100607496,77.1319461958268,78.5125954315288,81.4636133258862,77.3891216572447,74.8888368827522,76.2051321684537,"Total"
NA,0,134.205727043005,139.706053154669,134.095405583645,139.589210032448,130.318624014547,134.82728160305,134.066024248811,144.130112808041,139.702682091626,141.166415355341,"Total"
NA,0,190.04005413981,189.897360849784,198.9041140503,193.197829725821,194.048834335829,187.918335760424,189.261137157314,192.994938547553,185.328323702211,188.356910015018,"Total"
NA,0,339.096357768557,343.611834402251,340.958802557715,332.837235838164,344.829097304422,332.614611257848,335.125157687218,326.832911314093,336.918902788306,327.697766645794,"Total"
NA,0,424.619640387275,419.848662251193,427.508271184842,433.434316809238,429.259153040918,439.036244933338,454.903731157174,441.90496391846,452.598108657847,448.257148820705,"Total"
NA,0,132.126577261016,136.623625405488,157.886389516059,147.081740677381,149.123513692795,152.983941718486,174.360230194686,174.008303498424,175.793867713562,158.37190038681,"Total"
NA,0,145.339234987118,147.105332116492,156.104376090369,153.385243849269,158.722268597159,182.842649641612,187.420921595037,206.39671035397,201.572827113253,210.65590588879,"Total"
NA,0,193.016694969283,197.359868584327,191.392469002313,193.214191167464,216.392417957802,233.034056093781,246.476100480353,267.125414210369,260.809936203655,274.784267745534,"Total"
NA,0,242.148217325101,250.14673962285,258.478489064979,269.472552916586,277.314597785044,273.253131764789,281.124497991968,286.261591544153,289.703208308935,296.827818961635,"Total"
NA,0,333.896805999676,343.162711055594,329.654324759242,343.732378761374,345.743467109647,371.11454735692,346.295983641923,364.780378173465,362.896553066807,375.181523404086,"Total"
NA,0,402.281104825105,421.760305407795,440.486382221401,451.103708814718,482.653498964047,508.893600866675,520.757123829891,512.829318268972,510.858666978166,513.636634904215,"Total"
NA,0,632.365078501716,581.748268633207,616.102929560654,617.195929912082,628.909985964418,657.938446113674,653.036205788918,653.899327230786,671.810890927517,640.173820537062,"Total"
NA,0,596.892093544626,618.756304341449,606.448895051868,636.775938723085,684.389866227244,692.164130275034,707.259428652258,720.906678784471,726.84624639898,736.030734357937,"Total"
NA,0,151.656103074117,150.926894541826,146.746930050746,150.112575926019,147.530928544948,162.638922089186,178.335176566795,185.123564758974,180.748807645922,177.496417348448,"Total"
NA,0,167.555241828611,167.901297567309,166.985487702294,170.662892303924,165.396390348077,172.374691062612,183.325317918787,183.398529089322,183.961726764221,191.276123006456,"Total"
NA,0,216.918432870692,212.132449486103,212.412222433099,215.137568881059,222.485613337243,236.367841568532,257.915486601855,269.787027337484,272.72990928885,282.057298151621,"Total"
NA,0,307.69960656471,308.55283782216,304.04251281078,302.738495132029,299.721356624,302.914020170106,311.829392275232,316.074198261167,321.68704388832,330.098442963106,"Total"
NA,0,486.993063471057,472.526234031703,459.061308745937,451.375066310489,440.484430144823,438.206002913384,455.461183545093,461.034622927332,471.678022052045,477.567634493963,"Total"
NA,0,735.43834594395,729.244876546949,727.621393912891,713.143507264283,717.740871807694,723.054654251813,723.631644336063,710.798866586062,704.120831232598,693.623720828149,"Total"
NA,0,1273.63288848144,1223.8997271168,1226.60522167685,1222.08844762048,1212.47507085126,1202.93357174111,1191.13774241402,1184.73958088556,1150.62075277575,1127.19398424518,"Total"
NA,0,1341.21237600619,1364.12668454384,1352.93086182831,1387.66550100241,1396.07606451839,1410.81076141662,1445.07871983334,1466.52010010634,1482.11825584391,1486.60576184104,"Total"
NA,0,69.2013697827578,66.3252756708088,68.179429574422,67.8561626984726,72.3712264631824,74.8949231369482,86.2282593097682,88.4264448338996,89.1074849772666,92.7971189207169,"Total"
NA,0,72.1651734686727,74.2216820797864,75.028812321523,75.9829151682504,74.2128450705461,83.1396401884297,91.3904832595769,91.8523689899968,91.331054380581,98.7302826441347,"Total"
NA,0,94.7552919257507,94.6282537927678,91.745416306004,96.4837425770655,99.226481122494,102.391402201656,113.444748489901,117.808229957962,120.392763203734,125.906807409283,"Total"
NA,0,125.389459180305,122.750392130188,124.243374964104,124.970373402857,129.284676445173,128.590706007484,132.395473066017,134.171769954087,135.964712371891,145.327169108468,"Total"
NA,0,237.958647893466,233.75948597606,226.89645542856,226.924547668404,219.26256316811,218.875560174779,218.059298715647,223.926130438188,223.664097801447,231.134937256421,"Total"
NA,0,296.054506415136,304.23714790106,301.398280573674,305.013383782478,307.292699735175,306.868631137505,308.807030610666,308.410346423948,303.252497694285,296.726913756286,"Total"
NA,0,576.222675310107,573.057443700541,586.927945544481,573.169246767446,572.830484527056,566.175100379294,576.854857070244,553.103183476379,564.338146979191,557.836578967091,"Total"
NA,0,640.434643409938,626.366433163074,641.957498302581,633.178361165472,642.926139451276,646.223898200522,649.96549636697,657.693178709481,653.750987250026,648.542340304974,"Total"
NA,0,100.475255803196,101.92527949539,102.789393260987,100.753770586994,104.103403255452,112.55827783731,125.481427848353,129.564048634563,121.878328376653,116.318697107756,"Total"
